lh.aparc.thickness	lh_bankssts_thickness	lh_caudalanteriorcingulate_thickness	lh_caudalmiddlefrontal_thickness	lh_cuneus_thickness	lh_entorhinal_thickness	lh_fusiform_thickness	lh_inferiorparietal_thickness	lh_inferiortemporal_thickness	lh_isthmuscingulate_thickness	lh_lateraloccipital_thickness	lh_lateralorbitofrontal_thickness	lh_lingual_thickness	lh_medialorbitofrontal_thickness	lh_middletemporal_thickness	lh_parahippocampal_thickness	lh_paracentral_thickness	lh_parsopercularis_thickness	lh_parsorbitalis_thickness	lh_parstriangularis_thickness	lh_pericalcarine_thickness	lh_postcentral_thickness	lh_posteriorcingulate_thickness	lh_precentral_thickness	lh_precuneus_thickness	lh_rostralanteriorcingulate_thickness	lh_rostralmiddlefrontal_thickness	lh_superiorfrontal_thickness	lh_superiorparietal_thickness	lh_superiortemporal_thickness	lh_supramarginal_thickness	lh_frontalpole_thickness	lh_temporalpole_thickness	lh_transversetemporal_thickness	lh_insula_thickness	lh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
PPMI_3541_MR_MPRAGEadni_br_raw	2.158	2.397	2.198	1.849	3.138	2.519	2.141	2.502	2.28	2.016	2.543	1.942	2.247	2.467	3.101	2.164	2.35	2.281	2.19	1.496	1.841	2.309	2.282	2.193	2.307	1.965	2.175	1.85	2.397	2.147	2.52	3.535	2.311	2.861	2.19464	1348008.0	1825999.90954
PPMI_3551_MR_MPRAGE_GRAPPA_	2.32	2.198	2.372	1.735	3.033	2.714	2.175	2.632	2.381	2.167	2.467	1.932	2.326	2.74	3.174	2.211	2.462	2.493	2.448	1.645	2.101	2.409	2.431	2.098	2.472	2.17	2.401	2.059	2.692	2.38	2.398	3.815	2.089	2.888	2.34665	1109117.0	1588618.33438
PPMI_3554_MR_MPRAGE_GRAPPA_	2.314	2.578	2.389	1.897	3.116	2.709	2.363	2.53	2.419	2.349	2.33	2.017	2.425	2.526	2.767	2.425	2.336	2.504	2.427	1.679	2.18	2.419	2.458	2.574	2.676	2.24	2.57	2.321	2.548	2.426	2.379	3.28	2.315	2.713	2.41766	1091053.0	1590221.25315
PPMI_3555_MR_MPRAGE_GRAPPA_	2.589	2.521	2.67	1.882	3.544	2.803	2.505	2.784	2.28	2.28	2.734	2.179	2.533	2.942	2.641	2.374	2.835	2.571	2.526	2.008	2.335	2.505	2.698	2.55	2.744	2.452	2.83	2.388	2.919	2.673	2.477	3.161	2.489	2.916	2.58069	1426171.0	1899452.03295
PPMI_3563_MR_MPRAGE_GRAPPA_	2.693	2.326	2.456	2.142	3.169	2.765	2.432	2.831	2.404	2.33	2.645	2.08	2.453	2.937	2.889	2.47	2.682	2.642	2.273	2.039	2.188	2.541	2.636	2.502	2.72	2.33	2.633	2.419	2.88	2.586	2.622	3.365	2.069	3.032	2.54072	1162870.0	1675445.76666
PPMI_3565_MR_MPRAGE_GRAPPA_	2.502	2.832	2.36	1.955	3.491	2.693	2.297	2.643	2.383	2.103	2.482	2.131	2.227	2.941	2.49	2.486	2.601	2.405	2.239	1.898	2.13	2.445	2.519	2.423	2.684	2.328	2.519	2.22	2.706	2.447	2.582	3.574	2.264	2.744	2.42536	1267194.0	1799833.27334
PPMI_3569_MR_MPRAGE_GRAPPA_	2.45	2.609	2.465	1.762	3.021	2.591	2.462	2.435	2.436	2.111	2.373	1.973	2.449	2.517	2.747	2.253	2.698	2.36	2.337	1.682	2.153	2.526	2.433	2.394	2.644	2.363	2.648	2.338	2.582	2.492	2.385	2.794	2.363	2.616	2.39795	1025566.0	1393666.35787
PPMI_3570_MR_MPRAGE_GRAPPA_	2.649	2.521	2.514	2.267	3.422	2.731	2.512	2.786	2.208	2.406	2.514	2.248	2.39	2.896	3.024	2.448	2.565	2.529	2.404	1.923	2.266	2.36	2.663	2.482	2.646	2.345	2.701	2.28	2.796	2.5	2.667	3.579	2.544	2.93	2.52414	1327604.0	1960578.77585
PPMI_3571_MR_MPRAGE_GRAPPA_	2.511	2.428	2.497	1.888	3.58	2.652	2.115	2.804	2.255	1.948	2.618	2.015	2.284	2.83	2.999	2.193	2.547	2.334	2.342	1.788	1.912	2.24	2.419	2.207	2.922	2.221	2.362	1.925	2.826	2.296	2.616	3.547	2.477	2.897	2.3439	1292374.0	1804793.45372
PPMI_3572_MR_MPRAGE_GRAPPA_	2.414	2.411	2.311	1.861	3.002	2.727	2.228	2.564	2.308	2.153	2.589	1.973	2.458	2.543	2.608	2.316	2.456	2.672	2.358	1.655	2.095	2.503	2.472	2.346	2.486	2.294	2.472	2.085	2.627	2.432	2.656	3.287	2.5	2.657	2.37785	1008714.0	1323411.34991
PPMI_3600_MR_SAG_T1_3D	2.368	2.349	2.359	1.868	3.409	2.798	2.495	3.016	2.611	2.306	2.839	2.129	2.448	2.744	2.536	2.209	2.418	2.84	2.605	1.635	2.028	2.428	2.514	2.368	2.947	2.369	2.693	2.151	2.859	2.435	3.148	3.719	2.108	3.049	2.49245	1142085.0	1474467.61131
PPMI_3610_MR_SAG_T1_3D	2.465	2.901	2.847	1.832	3.283	2.941	2.621	2.866	2.551	2.438	2.898	2.162	2.43	3.086	3.178	2.707	2.802	3.027	2.564	1.599	2.357	2.652	2.605	2.536	2.806	2.554	2.87	2.496	2.885	2.708	3.009	3.707	2.835	3.102	2.66622	1167892.0	1579364.1832
PPMI_3611_MR_SAG_T1_3D	2.486	2.699	2.998	1.77	3.685	2.725	2.532	2.921	2.808	2.394	2.639	2.201	2.657	2.987	2.334	2.582	2.876	2.994	2.779	1.584	2.112	2.715	2.704	2.394	2.956	2.662	2.978	2.372	2.989	2.735	3.094	3.704	2.656	3.119	2.62541	1202321.0	1581536.14909
PPMI_3613_MR_SAG_T1_3D	2.663	2.707	2.511	1.811	3.619	2.814	2.566	3.063	2.229	2.241	2.94	1.948	2.403	3.004	2.732	2.49	2.566	2.949	2.429	1.569	2.222	2.389	2.572	2.298	2.737	2.418	2.784	2.273	2.951	2.686	2.468	4.243	2.342	3.01	2.55317	1146087.0	1509148.08569
PPMI_3614_MR_SAG_T1_3D	2.422	2.47	2.509	1.921	3.546	2.641	2.366	2.824	2.568	2.34	2.703	1.992	2.399	2.848	2.931	2.306	2.581	2.615	2.415	1.549	1.974	2.512	2.509	2.34	2.737	2.35	2.648	2.253	2.729	2.396	2.919	3.104	2.288	2.942	2.45353	1075661.0	1466603.47211
PPMI_3615_MR_SAG_T1_3D	2.816	2.461	2.485	2.03	3.134	2.936	2.566	2.708	2.562	2.37	2.795	2.263	2.51	3.033	2.618	2.503	2.707	3.037	2.502	1.718	2.165	2.768	2.401	2.38	2.843	2.464	2.666	2.25	3.095	2.58	3.056	4.182	2.57	3.265	2.56757	1344510.0	1811209.39455
PPMI_3620_MR_SAG_T1_3D	2.863	2.85	2.605	1.983	4.149	2.957	2.689	2.937	2.821	2.502	2.984	2.226	2.529	3.326	2.957	2.524	2.653	2.773	2.455	1.816	2.392	2.87	2.667	2.686	3.152	2.578	2.875	2.548	3.226	2.89	3.179	4.108	2.723	3.382	2.73331	1127888.0	1567552.47491
PPMI_3624_MR_SAG_T1_3D	2.166	2.533	2.537	1.942	3.373	2.68	2.386	2.987	2.186	2.272	2.694	1.982	2.5	2.878	2.857	2.559	2.387	2.663	2.357	1.607	2.053	2.296	2.598	2.476	2.788	2.372	2.725	2.241	2.63	2.514	2.645	3.525	2.299	3.044	2.48228	1249764.0	1710230.18307
PPMI_3627_MR_SAG_T1_3D	2.505	2.515	2.477	1.828	3.967	2.818	2.359	2.882	2.546	2.205	2.688	2.065	2.383	3.181	2.581	2.449	2.636	2.846	2.502	1.591	2.283	2.296	2.629	2.354	2.606	2.56	2.659	2.221	2.84	2.524	2.629	3.48	2.834	2.872	2.52408	1281133.0	1719083.96892
